Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession rbcL	GenBank Accession matK	GenBank Accession ndhF	GenBank Accession trnTL	GenBank Accession trnLF	GenBank Accession psbA-trnH	GenBank Accession atpB-rbcL	GenBank Accession trnSG	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Miliusa mollis		1	7787				AY318989	Ñ	Ñ	Ñ	AY319101	Ñ	Ñ	Ñ			Miliusa mollis								
Mischogyne michelioides		1	7787				EU169786	Ñ	Ñ	Ñ	EU169764	Ñ	Ñ	Ñ			Mischogyne michelioides								
Mitrella kentii		1	7787				AY841633	Ñ	Ñ	Ñ	AY841711	Ñ	Ñ	Ñ			Mitrella kentii								
Mitrephora polypyrena		1	7787				AY318997	Ñ	Ñ	Ñ	AY319110	Ñ	Ñ	Ñ			Mitrephora polypyrena								
Mitrephora teysmannii		1	7787				AY318996	Ñ	Ñ	Ñ	AY319109	Ñ	Ñ	Ñ			Mitrephora teysmannii								
Mkilua fragrans		1	7787				AY841634	DQ125060	EF179303	DQ861647	AY841712	DQ861696	EF179268	EF179345			Mkilua fragrans								
Monanthotaxis whytei		1	7787				AY841635	EF179278	EF179304	JQ742034	AY841713	EF179315	EF179269	EF179346			Monanthotaxis whytei								
Monanthotaxis sp		1	7787				AY841636	Ñ	Ñ	Ñ	AY841713	Ñ	Ñ	Ñ			Monanthotaxis sp								
Monocarpia euneura		1	7787				AY318998	AY518865	AY841412	AY841580	AY319111	AY841477	AY841381	AY841559			Monocarpia euneura								
Monocyclanthus vegnei		1	7787				EU169765	Ñ	Ñ	Ñ	EU169787	Ñ	Ñ	Ñ			Monocyclanthus vegnei								
Monodora crispata		1	7787				AY841637	Ñ	Ñ	Ñ	AY841715	Ñ	Ñ	Ñ			Monodora crispata								
Monodora myristica		1	7787				AY743447	EU169700	EU169721	JQ742035	AY743466	DQ125129	EF179270	EU169812			Monodora myristica								
Mosannona costaricensis		1	7787				AY743510	AY743503	AY841413	AY841581	AY743496	AY841479	AY841382	AY841560			Mosannona costaricensis								
Mosannona papillosa		1	7787				AY743514	Ñ	Ñ	Ñ	AY743500	Ñ	Ñ	Ñ			Mosannona papillosa								
Mwasumbia alba		1	7787				EU747680	Ñ	Ñ	Ñ	EU747674	Ñ	Ñ	Ñ			Mwasumbia alba								
Neo uvaria acuminatissima		1	7787				AY318999	Ñ	Ñ	Ñ	AY319112	Ñ	Ñ	Ñ			Neo uvaria acuminatissima								
Neo uvaria paralellivenia		1	7787				AY319000	Ñ	Ñ	Ñ	AY319113	Ñ	Ñ	Ñ			Neo uvaria paralellivenia								
Neostenanthera myristicifolia		1	7787				AY743448	AY743486	EF179306	JQ742036	AY743467	DQ125130	EF179271	EF179348			Neostenanthera myristicifolia								
Onychopetalum periquino		1	7787				AY319065	AY518876	AY841414	AY841582	AY319179	AY841485	AY841383	AY841561			Onychopetalum periquino								
Ophrypetalum odoratum		1	7787				EU169789	Ñ	Ñ	Ñ	EU169767	Ñ	Ñ	Ñ			Ophrypetalum odoratum								
Orophea celebica		1	7787				AY319004	Ñ	Ñ	Ñ	AY319117	Ñ	Ñ	Ñ			Orophea celebica								
Orophea creaghii		1	7787				AY841632	Ñ	Ñ	Ñ	AY841710	Ñ	Ñ	Ñ			Orophea creaghii								
Orophea enterocarpa		1	7787				AY319006	Ñ	Ñ	Ñ	AY319119	Ñ	Ñ	Ñ			Orophea enterocarpa								
Orophea kerrii		1	7787				AY319008				AY319121						Orophea kerrii								
Orophea polycarpa		1	7787				AY319010	Ñ	Ñ	Ñ	AY319123	Ñ	Ñ	Ñ			Orophea polycarpa								
Oxandra asbeckii		1	7787				AY841639	Ñ	Ñ	Ñ	AY841717	Ñ	Ñ	Ñ			Oxandra asbeckii								
Oxandra longipetala		1	7787				AY841641	Ñ	Ñ	Ñ	AY841719	Ñ	Ñ	Ñ			Oxandra longipetala								
Oxandra macrophylla		1	7787				AY841642	Ñ	Ñ	Ñ	AY841720	Ñ	Ñ	Ñ			Oxandra macrophylla								
Oxandra polyantha		1	7787				AY841643	Ñ	Ñ	Ñ	AY841721	Ñ	Ñ	Ñ			Oxandra polyantha								
Oxandra venezuelana		1	7787				AY841645	Ñ	Ñ	Ñ	AY841723	Ñ	Ñ	Ñ			Oxandra venezuelana								
Oxandra xylopioides		1	7787				AY841646	Ñ	Ñ	Ñ	AY841724	Ñ	Ñ	Ñ			Oxandra xylopioides								
Persea americana		1	7787				AY841592	Ñ	JQ437545	JQ742021	AY841669	JQ513882	JQ513883	-			Persea americana								
Phaeanthus ebracteolatus		1	7787				AY319012	Ñ	Ñ	Ñ	AY319125	Ñ					Phaeanthus ebracteolatus								
Piptostigma mortehani		1	7787				AY743454	AY743492 	AY841415	AY841583	AY743473	AY841498	AY841384	AY841562			Piptostigma mortehani								
Piptostigma pilosum		1	7787				AY841648	Ñ	Ñ	Ñ	AY841726	Ñ	Ñ	Ñ			Piptostigma pilosum								
Platymitra macrocarpa		1	7787				AY319013	Ñ	Ñ	Ñ	AY319127	Ñ	Ñ	Ñ			Platymitra macrocarpa								
Polyalthia borneensis		1	7787				AY319014	Ñ	Ñ	Ñ	AY319128	Ñ	Ñ	Ñ			Polyalthia borneensis								
Polyalthia cauliflora		1	7787				AY319015	Ñ	Ñ	Ñ	AY319129	Ñ	Ñ	Ñ			Polyalthia cauliflora								
Polyalthia celebica		1	7787				AY319016	Ñ	Ñ	Ñ	AY319130	Ñ	Ñ	Ñ			Polyalthia celebica								
Polyalthia cerasoides		1	7787				AY319017	Ñ	Ñ	Ñ	AY319131	Ñ	Ñ	Ñ			Polyalthia cerasoides								
Polyalthia cinnamomea		1	7787				AY319018	Ñ	Ñ	Ñ	AY319132	Ñ	Ñ	Ñ			Polyalthia cinnamomea								
Polyalthia congesta		1	7787				AY319019	Ñ	Ñ	Ñ	AY319133	Ñ	Ñ	Ñ			Polyalthia congesta								
Polyalthia debilis		1	7787				AY319020	Ñ	Ñ	Ñ	AY319134	Ñ	Ñ	Ñ			Polyalthia debilis								
Polyalthia flagellaris		1	7787				AY319022	Ñ	Ñ	Ñ	AY319136	Ñ	Ñ	Ñ			Polyalthia flagellaris								
Polyalthia cf glabra		1	7787				AY319032	Ñ	Ñ	Ñ	AY319146	Ñ	Ñ	Ñ			Polyalthia cf glabra								
Polyalthia lateriflora		1	7787				AY319024	Ñ	Ñ	Ñ	AY319138	Ñ	Ñ	Ñ			Polyalthia lateriflora								
Polyalthia longifolia		1	7787				AY319027	Ñ	Ñ	Ñ	AY319141	Ñ	Ñ	Ñ			Polyalthia longifolia								
Polyalthia cf longifolia		1	7787				AY319025	Ñ	Ñ	Ñ	AY319139	Ñ	Ñ	Ñ			Polyalthia cf longifolia								
Polyalthia longipes		1	7787				AY319028	Ñ	Ñ	Ñ	AY319142	Ñ	Ñ	Ñ			Polyalthia longipes								
Polyalthia obliqua		1	7787				AY319029	Ñ	Ñ	Ñ	AY319143	Ñ	Ñ	Ñ			Polyalthia obliqua								
Polyalthia pendula		1	7787				AY319030	Ñ	Ñ	Ñ	AY319144	Ñ	Ñ	Ñ			Polyalthia pendula								
Polyalthia rumphii		1	7787				AY319031	Ñ	Ñ	Ñ	AY319145	Ñ	Ñ	Ñ			Polyalthia rumphii								
Polyalthia sclerophylla		1	7787				AY319033	Ñ	Ñ	Ñ	AY319147	Ñ	Ñ	Ñ			Polyalthia sclerophylla								
Polyalthia stenopetala		1	7787				AY319034	Ñ	Ñ	Ñ	AY319148	Ñ	Ñ	Ñ			Polyalthia stenopetala								
Polyalthia stuhlmannii		1	7787				AY319035	Ñ	Ñ	Ñ	AY319149	Ñ	Ñ	Ñ			Polyalthia stuhlmannii								
Polyalthia subcordata		1	7787				AY319037	Ñ	Ñ	Ñ	AY319151	Ñ	Ñ	Ñ			Polyalthia subcordata								
Polyalthia suberosa		1	7787				AY238956	AY238965	AY841417	AY841585	AY231289 (intron) / AY238949 (spacer)	AY841502	AY841386	AY841564			Polyalthia suberosa								
Polyalthia viridis		1	7787				AY319040	Ñ	Ñ	Ñ	AY319154	Ñ	Ñ	Ñ			Polyalthia viridis								
Polyalthia xanthopetala		1	7787				AY319041	Ñ	Ñ	Ñ	AY319155	Ñ	Ñ	Ñ			Polyalthia xanthopetala								
Polyceratocarpus microtrichus		1	7787				EU747683	Ñ	Ñ	Ñ	EU747677	Ñ	Ñ	Ñ			Polyceratocarpus microtrichus								
Polyceratocarpus pellegrini		1	7787				EU747684	Ñ	Ñ	Ñ	EU747678	Ñ	Ñ	Ñ			Polyceratocarpus pellegrini								
Popowia odoardi		1	7787				AY319043	Ñ	Ñ	Ñ	AY319157	Ñ	Ñ	Ñ			Popowia odoardi								
Popowia pisocarpa		1	7787				AY319044	Ñ	Ñ	Ñ	AY319158	Ñ	Ñ	Ñ			Popowia pisocarpa								
Porcelia steinbachii		1	7787				AY841649	Ñ	Ñ	Ñ	AY841727	Ñ	Ñ	Ñ			Porcelia steinbachii								
Pseudartabotrys letestui		1	7787				AY841650	DQ125061	EF179307	Ñ	AY841728	DQ125131	EF179272	EF179349			Pseudartabotrys letestui								
Pseudephedranthus fragrans		1	7787				AY841651	Ñ	Ñ	Ñ	AY841729	Ñ	Ñ	Ñ			Pseudephedranthus fragrans								
Pseudomalmea diclina		1	7787				AY319068	AY841398	AY841419	AY841587	AY319128	AY841506	AY841388	AY841566			Pseudomalmea diclina								
Pseudomalmea sp		1	7787				AY841652	Ñ	Ñ	Ñ	AY841730	Ñ	Ñ	Ñ			Pseudomalmea sp								
Pseudoxandra polyphleba		1	7787				AY841654	JQ769091	JQ769092	JQ742037	AY841732	AY841512	Ñ	Ñ			Pseudoxandra polyphleba								
Pseudoxandra spiritussancti		1	7787				AY841533	AY841399	AY841421	AY841589	AY841547	AY841513	AY841390	AY841568			Pseudoxandra spiritussancti								
Pseuduvaria megalopus		1	7787				AY319011	Ñ	Ñ	Ñ	AY319124	AY319011	Ñ	Ñ			Pseuduvaria megalopus								
Pseuduvaria pamattonis		1	7787				AY319049	Ñ	Ñ	Ñ	AY319163	AY319049	Ñ	Ñ			Pseuduvaria pamattonis								
Pseuduvaria phuyensis		1	7787				AY319001	Ñ	Ñ	Ñ	AY319114	AY319001	Ñ	Ñ			Pseuduvaria phuyensis								
Pseuduvaria rugosa		1	7787				AY319048	Ñ	Ñ	Ñ	AY319162	AY319048	Ñ	Ñ			Pseuduvaria rugosa								
Ruizodendron ovale		1	7787				AY841657	HQ214070	Ñ	Ñ	AY841735	AY841514	Ñ	Ñ			Ruizodendron ovale								
Sageraea lanceolata		1	7787				AY319050	Ñ	Ñ	Ñ	AY319164						Sageraea lanceolata								
Sanrafaelia rufonammari		1	7787				EU169790	Ñ	Ñ	Ñ	EU169768	Ñ	Ñ	Ñ			Sanrafaelia rufonammari								
Sapranthus microcarpus		1	7787				AY319052	Ñ	Ñ	Ñ	AY319166	Ñ	Ñ	Ñ			Sapranthus microcarpus								
Sapranthus viridiflorus		1	7787				AY319051	AY743493	AY841422	AY841590	AY319165	AY841515	AY841391	AY841569			Sapranthus viridiflorus								
Sphaerocoryne gracilis		1	7787				EU169755	Ñ	Ñ	Ñ	EU169777	Ñ	Ñ	Ñ			Sphaerocoryne gracilis								
Sphaerocoryne sp		1	7787				AY319071	Ñ	Ñ	Ñ	AY319185	Ñ	Ñ	Ñ			Sphaerocoryne sp								
Stelechocarpus burahol		1	7787				AY319053	Ñ	Ñ	Ñ	AY319167	Ñ	Ñ	Ñ			Stelechocarpus burahol								
Stelechocarpus cauliflorus		1	7787				AY319054	Ñ	Ñ	Ñ	AY319168	Ñ	Ñ	Ñ			Stelechocarpus cauliflorus								
Stenanona costaricensis		1	7787				AY319069	Ñ	Ñ	Ñ	AY319183	Ñ	Ñ	Ñ			Stenanona costaricensis								
Stenanona panamensis		1	7787				AY319070	Ñ	Ñ	Ñ	AY319184	Ñ	Ñ	Ñ			Stenanona panamensis								
Tetrameranthus duckei		1	7787				AY841658	Ñ	Ñ	Ñ	AY841736	Ñ	Ñ	Ñ			Tetrameranthus duckei								
Tetrameranthus laomae		1	7787				AY841659	Ñ	Ñ	Ñ	AY841737	Ñ	Ñ	Ñ			Tetrameranthus laomae								
Toussaintia orientalis		1	7787				EU169778	Ñ	Ñ	Ñ	EU169756	Ñ	Ñ	Ñ			Toussaintia orientalis								
Tridimeris sp		1	7787				AY319055	Ñ	Ñ	Ñ	AY319169	Ñ	Ñ	Ñ			Tridimeris sp								
Trigynaea duckei		1	7787				AY841660	Ñ	Ñ	Ñ	AY841738	Ñ	Ñ	Ñ			Trigynaea duckei								
Trigynaea lanceipetala		1	7787				AY743449	AY743487	EF179309	JQ742038	AY743468	Ñ	EF179274	EF179351			Trigynaea lanceipetala								
Trivalvaria macrophylla		1	7787				AY319056	Ñ	Ñ	Ñ	AY319170	Ñ	Ñ	Ñ			Trivalvaria macrophylla								
Unonopsis pittieri		1	7787				AY841661	Ñ	Ñ	Ñ	AY841739	Ñ	Ñ	Ñ			Unonopsis pittieri								
Unonopsis stipitata		1	7787				AY841662	AY841400	AY841423	AY841591	AY841740	AY841519	AY841392	AY841570			Unonopsis stipitata								
Uvaria chamae		1	7787				AY841663	Ñ	Ñ	Ñ	AY841741	Ñ	Ñ	Ñ			Uvaria chamae								
Uvaria cherrevensis		1	7787				FJ743823	Ñ	Ñ	Ñ	FJ743858	Ñ	Ñ	Ñ			Uvaria cherrevensis								
Uvaria clementis		1	7787				AY841606	Ñ	Ñ	Ñ	FJ743853	Ñ	Ñ	Ñ			Uvaria clementis								
Uvaria cuneifolia		1	7787				FJ743822	Ñ	Ñ	Ñ	FJ743857	Ñ	Ñ	Ñ			Uvaria cuneifolia								
Uvaria dulcis		1	7787				FJ743815	Ñ	Ñ	Ñ	FJ743849	Ñ	Ñ	Ñ			Uvaria dulcis								
Uvaria grandiflora		1	7787				FJ743836	Ñ	Ñ	Ñ	FJ743870	Ñ	Ñ	Ñ			Uvaria grandiflora								
Uvaria griffithii		1	7787				FJ743820	Ñ	Ñ	Ñ	FJ743855	Ñ	Ñ	Ñ			Uvaria griffithii								
Uvaria lucida		1	7787				AY238957	AY238966	EF179310	JQ742039	AY231290 (intron) / AY238950 (spacer)	AY841440	EF179275	EF179352			Uvaria lucida								
Uvaria siamensis		1	7787				FJ743824	Ñ	Ñ	Ñ	FJ743859	Ñ	Ñ	Ñ			Uvaria siamensis								
Uvariastrum insculptum		1	7787				EU169791	Ñ	Ñ	Ñ	EU169769	Ñ	Ñ	Ñ			Uvariastrum insculptum								
Uvariastrum pynaertii		1	7787				EU169792	Ñ	Ñ	Ñ	EU169770	Ñ	Ñ	Ñ			Uvariastrum pynaertii								
Uvariodendron kirkii		1	7787				EU169793	Ñ	Ñ	Ñ	EU169771	Ñ	Ñ	Ñ			Uvariodendron kirkii								
Uvariodendron molundense		1	7787				EU169794	Ñ	Ñ	Ñ	EU169772	Ñ	Ñ	Ñ			Uvariodendron molundense								
Uvariopsis korupensis		1	7787				EU169796	Ñ	Ñ	Ñ	EU169774	Ñ	Ñ	Ñ			Uvariopsis korupensis								
Uvariopsis tripetala		1	7787				EU169780	Ñ	Ñ	Ñ	EU169758	Ñ	Ñ	Ñ			Uvariopsis tripetala								
Uvariopsis vanderystii		1	7787				EU169773	Ñ	Ñ	Ñ	EU169795	Ñ	Ñ	Ñ			Uvariopsis vanderystii								
Woodiellantha sp		1	7787				AY841665	Ñ	Ñ	Ñ	AY841743	Ñ	Ñ	Ñ			Woodiellantha sp								
Xylopia ferruginea		1	7787				AY841666	DQ125063	EF179311	JQ742040	AY841744	DQ125133	Ñ	Ñ			Xylopia ferruginea								
