Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Trybliographa sp. 2		1	1078	DQ012659	ZL091 Psichacra								
Vetustia investigata		1	1078										
Xestophanes potentillae		1	1078	AY368912	f238.2.0.1								
Acanthaegilips sp.		1079	2147		MB271								
Agrostocynips sp.		1079	2147	DQ012541	MB294.3.59.1.0.2/DM340								
Alloxysta sp. 1		1079	2147	DQ012542	j015.83.0.2								
Alloxysta sp. 2		1079	2147										
Anacharis sp.		1079	2147	DQ012543	MB274.5.44.1.0.2								
Andricus caputmedusae		1079	2147	DQ012544	f251.39.0.2								
Andricus clavulus		1079	2147										
Andricus coriarius		1079	2147										
Andricus curvator		1079	2147	AF395169	Antonis curvator								
Andricus grossulariae		1079	2147	DQ012545	f257.141.0.2								
Andricus inflator		1079	2147										
Andricus kollari		1079	2147	AF395168	AF395168								
Andricus pictus		1079	2147	DQ012546	f256.117.0.2								
Andricus quercusflocci		1079	2147										
Andricus quercusradicis		1079	2147	DQ012547	f260.50.0.2								
Andricus quercusstrobilana		1079	2147		ZL014 Adleria_s.								
Andricus tumificus		1079	2147										
Antistrophus rufus		1079	2147	DQ012548	493.33.0.2								
Antistrophus silphii		1079	2147	AY368968	f239.18.0.2								
Asiocynips lugubris		1079	2147										
Asiocynips pannucea		1079	2147										
Aulacidea freesei		1079	2147	DQ012549	577.113.0.2/DM381=FR577								
Aulacidea hieracii		1079	2147	DQ012550	410.66.0.2								
Aulacidea phlomica		1079	2147	DQ012551	f242ph.32.0.2								
Aulacidea tragopogonis		1079	2147	AY368973	f265.69.0.2								
Aulacidea verticillica		1079	2147										
Aylax hypecoi		1079	2147	DQ012552	505.98.0.2								
Aylax minor		1079	2147	DQ012553	f287.180.0.2								
Aylax papaveris		1079	2147	AY368974	339.10.0.1								
Barbotinia oraniensis		1079	2147	AF395171	DM253=FR392								
Biorhiza pallida		1079	2147	AY368982	f286.46.0.2								
Callaspidia sp.		1079	2147										
Cecconia valerianellae		1079	2147										
Cecinothofagus gallaecoihue		1079	2147										
Cecinothofagus gallaelenga		1079	2147										
Cecinothofagus ibarrai		1079	2147										
Ceroptres cerri		1079	2147	DQ012555	491.100.0.1/DM211								
Ceroptres clavicornis		1079	2147										
Ceroptres sp.		1079	2147										
Cynips quercus		1079	2147	DQ012556	f258.68.0.2/DM376								
Dallatorrella sp.		1079	2147										
Diastrophus mayri		1079	2147	DQ012558	j020.221.0.2								
Diastrophus potentillae		1079	2147	AY368965	403.14.0.1 Gonasp								
Diastrophus rubi		1079	2147	DQ012559	406.38.0.2								
Diastrophus turgidus		1079	2147	AY368964	f289.30.0.1								
Diastrophus sp.		1079	2147	DQ012557	398.6.0.1								
Diplolepis rosae		1079	2147	AF395166	AF395166								
Dryocosmus quercuspalustris		1079	2147										
Eschatocerus acaciae		1079	2147	AY368979	f281.43.0.2								
Euceroptres sp.		1079	2147										
Hedickiana levantina		1079	2147		DM284=J017								
Himalocynips vigintilis		1079	2147										
Ibalia anceps		1079	2147	DQ012560	408.63.0.2								
Ibalia rufipes		1079	2147		f292?=DM?								
Iraella hispanica		1079	2147	DQ012554	580.22.0.2								
Iraella luteipes		1079	2147	AY368975	333.10.0.2								
Isocolus leuzeae		1079	2147	DQ012561	500.11.0.1								
Isocolus lichtensteini		1079	2147	DQ012562	329.24.0.2								
Isocolus rogenhoferi		1079	2147	AY368972	f243.53.0.2								
Kleidotoma sp.		1079	2147										
Liebelia fukudae		1079	2147	DQ012563	f254.78.0.2=DM369								
Liposthenes glechomae		1079	2147	AY368966	f003.39.0.2								
Liposthenes kerneri		1079	2147	AY368967	323.6.0.2								
Melanips sp.		1079	2147		DM								
Neaylax salviae		1079	2147	DQ012564	328.8.0.2 N.spN								
Neaylax verbenaca		1079	2147	AY368971	326.2.0.1								
Neaylax versicolor		1079	2147	DQ012565	j019.68.0.2FumAd								
Neuroterus numismalis		1079	2147	AY368981	f261.2.0.1								
Panteliella bicolor		1079	2147	AF395172	PBI1 / DM378								
Paramblynotus virginianus		1079	2147	AY368984	409.18.0.1								
Paraspicera sp.		1079	2147										
Paraulax perplexa		1079	2147		DM279=FR492								
Parnips nigripes A		1079	2147	AY368983	DM222								
Parnips nigripes B		1079	2147	DQ012566	580.18.0.2								
Pediaspis aceris		1079	2147		f240.26.0.1=DM219								
Periclistus brandtii		1079	2147	AF395173									
Periclistus pirata		1079	2147	DQ012567	413.84.0.2								
Phanacis centaureae		1079	2147	AY368978	344.15.0.1								
Phanacis hypochoeridis		1079	2147	AY368977	321.2.0.1								
Phanacis phlomidis		1079	2147										
Plagiotrochus quercusilicis		1079	2147	AF395162	AF395162								
Plectocynips pilosus		1079	2147										
Plectocynips sp.		1079	2147	DQ012568	MB264.5.11.1.0.2								
Qwaqwaia scolopiae		1079	2147										
Rhodus oriundus		1079	2147	AY368969	j010.42.0.1 / DM255=FR513								
Rhoophilus loewi		1079	2147	DQ012569	j021.69.0.1								
Saphonecrus lusitanicus		1079	2147		DM416=J013								
Synergus crassicornis		1079	2147	AY368962	j011.49.0.1								
Synergus gallaepomiformis		1079	2147	AF395167	Antonis Synergus								
Synergus thaumacerus		1079	2147	DQ012573	308.4.0.1								
Synergus umbraculus		1079	2147	DQ012570	j013.97.0.2								
Synergus sp. 1		1079	2147	DQ012571	f004.18.0.2								
Synergus sp. 2		1079	2147	DQ012572	400.12.0.2								
Synophromorpha sylvestris		1079	2147	AY368961	401.19.0.1								
Synophrus pilulae		1079	2147		f248.99.0.2								
Timaspis phoenixopodos		1079	2147	AY368976	DM251=FR330								
Timaspis urospermi		1079	2147	DQ012574	504.82.0.2								
Trigonaspis mendesi		1079	2147	DQ012575	f259.88.0.2								
Trischiza sp.		1079	2147										
Trybliographa sp. 1		1079	2147										
Trybliographa sp. 2		1079	2147										
Vetustia investigata		1079	2147										
Xestophanes potentillae		1079	2147	AY368963	f238.11.0.2								
Acanthaegilips sp.		2148	3393	AY675679	MB271								
Agrostocynips sp.		2148	3393	AY675798	MB294								
Alloxysta sp. 1		2148	3393	DQ012577	j015.10.0.1								
Alloxysta sp. 2		2148	3393	AY675705	MB300								
Anacharis sp.		2148	3393	AY675674	MB274								
Andricus caputmedusae		2148	3393	DQ012578	f251.030311.0.1								
Andricus clavulus		2148	3393	DQ012591	ZL015								
Andricus coriarius		2148	3393	DQ012579	f264.0.1								
Andricus curvator		2148	3393	AF395155	j007.0.2								
Andricus grossulariae		2148	3393	DQ012582	f257.0.2								
Andricus inflator		2148	3393	DQ012581	ZL013								
Andricus kollari		2148	3393	AF395156	j006.0.2								
Andricus pictus		2148	3393	DQ012583	f256.0.1								
Andricus quercusflocci		2148	3393	DQ012580	ZL012								
Andricus quercusradicis		2148	3393	DQ012584	f260.12.0.1								
Andricus quercusstrobilana		2148	3393	DQ012576	ZL014 Adleria								
Andricus tumificus		2148	3393	DQ012592	ZL016								
Antistrophus rufus		2148	3393										
Antistrophus silphii		2148	3393	AY368943	f239.0.3								
Asiocynips lugubris		2148	3393										
Asiocynips pannucea		2148	3393										
Aulacidea freesei		2148	3393	DQ012585	577.18.0.1								
Aulacidea hieracii		2148	3393	DQ012586	410.0.2								
Aulacidea phlomica		2148	3393	DQ012587	f242ph.0.2								
Aulacidea tragopogonis		2148	3393	AY368948	f265.new.1								
Aulacidea verticillica		2148	3393										
Aylax hypecoi		2148	3393	DQ012588	505.9.0.1								
Aylax minor		2148	3393	DQ012589	f287.0.1								
Aylax papaveris		2148	3393	AY368949	339.0.2								
Barbotinia oraniensis		2148	3393	AF395150	j003.0.2								
Biorhiza pallida		2148	3393	AY368957	f286.0.1								
Callaspidia sp.		2148	3393	AY675692	MB059								
Cecconia valerianellae		2148	3393	TBA	TBA								
Cecinothofagus gallaecoihue		2148	3393	FJ998292									
Cecinothofagus gallaelenga		2148	3393	FJ998293									
Cecinothofagus ibarrai		2148	3393	FJ998294									
Ceroptres cerri		2148	3393	AY368935	491.0.2								
Ceroptres clavicornis		2148	3393	DQ012593	ZL011								
Ceroptres sp.		2148	3393	DQ012594	399.5.0.1								
Cynips quercus		2148	3393	DQ012596	f258.0.2								
Dallatorrella sp.		2148	3393	AY675667	MB341								
Diastrophus mayri		2148	3393										
Diastrophus potentillae		2148	3393	AY368940	403.0.2 Gonaspis								
Diastrophus rubi		2148	3393	DQ012598	406.0.2								
Diastrophus turgidus		2148	3393	AY368939	f289.0.1								
Diastrophus sp.		2148	3393	DQ012597	398.0.1								
Diplolepis rosae		2148	3393	AF395157	j001.0.2								
Dryocosmus quercuspalustris		2148	3393	DQ012595	ZL017								
Eschatocerus acaciae		2148	3393	AY368954	f281-010917.0.1								
Euceroptres sp.		2148	3393	AY675673	MB425								
Hedickiana levantina		2148	3393	AY368945	j017.0.2								
Himalocynips vigintilis		2148	3393										
Ibalia anceps		2148	3393	DQ012599	408.0.1								
Ibalia rufipes		2148	3393	AY368960	f292.0.1								
Iraella hispanica		2148	3393	DQ012590	Type1580.35.0.1								
Iraella luteipes		2148	3393	AY368950	333.0.2								
Isocolus leuzeae		2148	3393										
Isocolus lichtensteini		2148	3393	DQ012600	329.2.0.2								
Isocolus rogenhoferi		2148	3393	AY368947	f243.0.1								
Kleidotoma sp.		2148	3393	AY675782	MB273								
Liebelia fukudae		2148	3393	DQ012601	f254.new.0.1								
Liposthenes glechomae		2148	3393	AY368941	f003.0.4								
Liposthenes kerneri		2148	3393	AY368942	323.0.2								
Melanips sp.		2148	3393	AY675690	MB281								
Neaylax salviae		2148	3393	DQ012602	328.0.4 N.spN								
Neaylax verbenaca		2148	3393	DQ012603	j019.0.2 FumarAd								
Neaylax versicolor		2148	3393	AY368946	326.0.2								
Neuroterus numismalis		2148	3393	AY368956	f261.0.1								
Panteliella bicolor		2148	3393	AF395153	f242.0.1								
Paramblynotus virginianus		2148	3393	AY368959	409.0.2								
Paraspicera sp.		2148	3393	DQ012604	ZL092								
Paraulax perplexa		2148	3393	FJ998295									
Parnips nigripes A		2148	3393	AY368958	j004.0.1								
Parnips nigripes B		2148	3393	DQ012605	Type3580.64.0.1								
Pediaspis aceris		2148	3393	AY368955	f240.0.2								
Periclistus brandtii		2148	3393	AF395152	j002.0.1								
Periclistus pirata		2148	3393	DQ012606	413.0.2								
Phanacis centaureae		2148	3393	AY368953	344.0.2								
Phanacis hypochoeridis		2148	3393	AY368952	321.0.2								
Phanacis phlomidis		2148	3393										
Plagiotrochus quercusilicis		2148	3393	AF395154	j005.0.1								
Plectocynips pilosus		2148	3393	TBA	TBA								
Plectocynips sp.		2148	3393	AY675670	MB264								
Qwaqwaia scolopiae		2148	3393	TBA	TBA								
Rhodus oriundus		2148	3393	AY368944	j010.0.1								
Rhoophilus loewi		2148	3393	DQ012607	j021.0.2								
Saphonecrus lusitanicus		2148	3393	DQ012613	j014								
Synergus crassicornis		2148	3393	AY368936	j011.0.2								
Synergus gallaepomiformis		2148	3393	DQ012610	j009.0.4								
Synergus thaumacerus		2148	3393	DQ012612	308.0.1								
Synergus umbraculus		2148	3393	DQ012608	j013.0.2								
Synergus sp. 1		2148	3393	DQ012609	f004.0.3								
Synergus sp. 2		2148	3393	DQ012611	400.0.1								
Synophromorpha sylvestris		2148	3393	AY368937	401.0.2								
Synophrus pilulae		2148	3393	GenbankNR	f248.0.1								
Timaspis phoenixopodos		2148	3393	AY368951	f263.0.2								
Timaspis urospermi		2148	3393	DQ012614	504.6.0.1								
Trigonaspis mendesi		2148	3393	DQ012615	f259.0.1								
Trischiza sp.		2148	3393	AY675699	MB049								
Trybliographa sp. 1		2148	3393	AY675712	MB163								
Trybliographa sp. 2		2148	3393	DQ012616	ZL091Psichacra								
Vetustia investigata		2148	3393										
Xestophanes potentillae		2148	3393	AY368938	f238.0.1								
