Row Taxon Label	Start Index	End Index	Other Accession Num	GenBank Accession	Country	State	Notes
Lactarius stephensii AY331012	1	1675	"Herbarium Universitatis Gandavensis (GENT) Walleyn 2930, K.L. Ledeganckstraat 35, 9000 Gent, Belgium"	AY331012	Belgium	"Berg, nature reserve Tofbroek"	authority: Lactarius stephensii (Berk.) Verbeken & Walleyn; synonym: Zelleromyces stephensii (Berk.) A.H. Sm.
Lactarius rubriviridis EF685088	1	1675	D.E. Desjardin 7312 (SFSU) (type) rubrivir	EF685088	USA		
Lactarius torminosus KF133281	1	1675	RW3183 (GENT)	KF133281	Czech Republic		
Lactarius pubescens AY336958	1	1675	GENT AV 96-931	AY336958	Norway	Nannenstad	
Lactarius mairei AY336950	1	1675	GENT AV 2000-118	AY336950	Italy	"Sardinia, Calangianus"	
Lactarius citriolens DQ422003	1	1675	"UE20.09.2004-03, UPS"	DQ422003			
Lactarius auriolla KF133257	1	1675	RW1601 (GENT)	KF133257	Sweden		
Lactarius alboscrobiculatus EF141538	1	1675	LTH175	EF141538	Thailand		"MB 510283; authority: Lactarius alboscrobiculatus H. T. Le & A. Verbeken; PCR_primers=fwd_name: ITS1F, rev_name: ITS4"
Lactarius controversus KF241544	1	1675	AV00-117 (GENT)	KF241544	Italy		
Lactarius atroviridis KF133270	1	1675	AV05-306 (GENT)	KF133270	USA		
Lactarius necator KF133276	1	1675	AV04-231 (GENT)	KF133276	France		
Lactarius spinosulus KF133262	1	1675	AT2003068 (UPS)	KF133262	Sweden		
Lactarius flexuosus DQ421992	1	1675	"UE06.09.2002-1, UPS"	DQ421992			
Lactarius albocarneus KF241545	1	1675	AV98-080 (GENT)	KF241545	France		
Lactarius trivialis DQ421991	1	1675	"UE27.08.2002-17a, UPS"	DQ421991			
Lactarius uvidus KF241546	1	1675	KVP10-027 (GENT)	KF241546	Russia		
Lactarius mammosus KF133265	1	1675	UE09.09.2004-5 (UPS)	KF133265	Sweden		
Zelleromyces giennensis AF230900	1	1675		AF230900			DNA isolated from basidiome; biotype: MA-Fungi 38674
Lactarius luridus KF241547	1	1675	OB11-011 (GENT)	KF241547	Belgium		
Lactarius formosus EF141549	1	1675	LTH382	EF141549	Thailand		"MB 510282; authority: Lactarius formosus H. T. Le & A.Verbeken; PCR_primers=fwd_name: ITS1F, rev_name: ITS4"
Lactarius vietus KF133267	1	1675	UE11.19.2004-1 (UPS)	KF133267	Sweden		
Lactarius peckii KF133277	1	1675	JN2004-020 (GENT)	KF133277	USA		
Lactarius pomiolens KF133282	1	1675	AV07-159 (GENT)	KF133282	Sri Lanka		
Lactarius bisporus KF856293	1	1675	GENT FH12-160	KF856293	Thailand		"specimen of Lactarius bisporus from which the sequence was obtained, was split in half: one part is the holotype (GENT:FH12-160), the other part is the isotype (MFLU:12-0650)"
Lactarius chromospermus KF133260	1	1675	AV99-174 (GENT)	KF133260	Zimbabwe		
Lactarius vinaceorufescens KF241542	1	1675	JN2007-018 (GENT)	KF241542	Canada		
Lactarius chrysorrheus KF133261	1	1675	UE04.10.2002-8 (UPS)	KF133261	Italy		
Lactarius helvus KF133263	1	1675	UE08.09.2004-1 (UPS)	KF133263	Sweden		
Lactarius subdulcis KF133279	1	1675	JV2006-024 (GENT)	KF133279	Belgium		
Lactarius sphagneti KF133268	1	1675	PL2805 (pers. herb. P. Leonard)	KF133268	United Kingdom		
Lactarius subsericatus DQ422011	1	1675	"UE11.10.2004-8, UPS"	DQ422011			
Arcangeliella borziana AF373599	1	1675		AF373599	Switzerland	"Cerniat, under Picea abies"	
Zelleromyces hispanicus AF231913	1	1675		AF231913			DNA isolated from basidiome; biotype: MA-Fungi 38311
Lactarius cyathuliformis KF133266	1	1675	UE04.09.2004-2 (UPS)	KF133266	Sweden		
Lactarius rufus KF241543	1	1675	JN2002-008 (GENT)	KF241543	Norway		
Zelleromyces sp JF960852	1	1675	T1246	JF960852			
Zelleromyces sp JF960853	1	1675	T1095	JF960853			
Zelleromyces sp JF960854	1	1675	T663	JF960854			
Lactarius camphoratus DQ422009	1	1675	"UE04.09.2004-5, UPS"	DQ422009			
Arcangeliella sp JF9606102	1	1675		JF9606102			
Lactarius chichuensis KF241541	1	1675	Wang1236 (HKAS)	KF241541	China		
Arcangeliella camphorata EU644701	1	1675	OSC 74230	EU644701			
Lactarius falcatus KF133274	1	1675	KVP08-038 (GENT)	KF133274	Thailand		
Lactarius quietus KF133264	1	1675	UE16.09.2004 (UPS)	KF133264	Sweden		
Lactarius hispidulus KF133258	1	1675	AB152 (GENT)	KF133258	Guinea		
