Row Taxon Label	Start Index	End Index	GenBank Accession	Other Accession Num	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Hypsiglena jani texana EU363093	1	802	EU363093	CAS 228965								
Hypsiglena jani texana EU363095	1	802	EU363095	CAS 228952								
Hypsiglena jani texana EU363096	1	802	EU363096	UTA R-52351								
Hypsiglena jani texana EU363098	1	802	EU363098	MHP 12366								
Hypsiglena jani texana EU363100	1	802	EU363100	MHP 10783								
Hypsiglena affinis EU363055	1	802	EU363055	LSUMZ 39533								
Hypsiglena torquata EU363045	1	802	EU363045	MZFC-JAC 24822								
Hypsiglena torquata EU363047	1	802	EU363047	MZFC 16926								
Hypsiglena torquata EU363049	1	802	EU363049	UTA R-51980								
Hypsiglena torquata EU363050	1	802	EU363050	MZFC 16925								
Hypsiglena torquata EU363051	1	802	EU363051	MZFC 16916								
Hypsiglena torquata EU363052	1	802	EU363052	UTA R-53380								
Hypsiglena torquata EU363053	1	802	EU363053	MZFC-JAC 23920								
Hypsiglena torquata EU363054	1	802	EU363054	UTA R-53379								
Hypsiglena chlorophaea catalinae EU363106	1	802	EU363106	MVZ 164935								
Hypsiglena chlorophaea catalinae EU363107	1	802	EU363107	RWM 1553								
Hypsiglena chlorophaea chlorophaea EU363101	1	802	EU363101	UTA R-54569								
Hypsiglena chlorophaea chlorophaea EU363102	1	802	EU363102	BYU 42376								
Hypsiglena chlorophaea chlorophaea EU363105	1	802	EU363105	BYU 42373								
Hypsiglena chlorophaea chlorophaea EU363108	1	802	EU363108	JRO 694								
Hypsiglena chlorophaea chlorophaea EU363109	1	802	EU363109	BYU 42832								
Hypsiglena chlorophaea chlorophaea EU363112	1	802	EU363112	CAS 228919								
Hypsiglena chlorophaea chlorophaea EU363114	1	802	EU363114	CAS 228930								
Hypsiglena chlorophaea chlorophaea EU363117	1	802	EU363117	CAS 228918								
Hypsiglena chlorophaea chlorophaea EU363118	1	802	EU363118	CAS 228920								
Hypsiglena chlorophaea chlorophaea EU363119	1	802	EU363119	CAS 228921								
Hypsiglena chlorophaea chlorophaea EU363120	1	802	EU363120	CAS 228937								
Hypsiglena chlorophaea chlorophaea EU363121	1	802	EU363121	CAS 228929								
Hypsiglena chlorophaea chlorophaea EU363122	1	802	EU363122	UTA R-52345								
Hypsiglena chlorophaea chlorophaea EU363167	1	802	EU363167	CAS 228932								
Hypsiglena chlorophaea deserticola EU363123	1	802	EU363123	CAS 205337								
Hypsiglena chlorophaea deserticola EU363125	1	802	EU363125	CAS 223504								
Hypsiglena chlorophaea deserticola EU363128	1	802	EU363128	CAS 223520								
Hypsiglena chlorophaea deserticola EU363129	1	802	EU363129	BYU 49402								
Hypsiglena chlorophaea deserticola EU363130	1	802	EU363130	CAS 228916								
Hypsiglena chlorophaea deserticola EU363138	1	802	EU363138	CAS 223414								
Hypsiglena chlorophaea deserticola EU363140	1	802	EU363140	MVZ 241612								
Hypsiglena chlorophaea deserticola EU363141	1	802	EU363141	IMHM-DGM 1705								
Hypsiglena chlorophaea deserticola EU363142	1	802	EU363142	CAS 231507								
Hypsiglena chlorophaea deserticola EU363143	1	802	EU363143	CAS 229917								
Hypsiglena chlorophaea deserticola EU363144	1	802	EU363144	CAS 219685								
Hypsiglena chlorophaea deserticola EU363145	1	802	EU363145	MVZ 229142								
Hypsiglena chlorophaea deserticola EU363146	1	802	EU363146	CAS 228911								
Hypsiglena chlorophaea deserticola EU363148	1	802	EU363148	MVZ 164933								
Hypsiglena chlorophaea deserticola EU363149	1	802	EU363149	CAS 206502								
Hypsiglena chlorophaea deserticola EU363150	1	802	EU363150	CAS 223437								
Hypsiglena chlorophaea deserticola EU363151	1	802	EU363151	CAS 229952								
Hypsiglena chlorophaea deserticola EU363152	1	802	EU363152	CAS 223373								
Hypsiglena chlorophaea deserticola EU363153	1	802	EU363153	population75								
Hypsiglena chlorophaea deserticola EU363154	1	802	EU363154	UNR 7721								
Hypsiglena chlorophaea loreala EU363155	1	802	EU363155	CAS 229249								
Hypsiglena chlorophaea loreala EU363157	1	802	EU363157	MVZ 241607								
Hypsiglena chlorophaea loreala EU363158	1	802	EU363158	MVZ 241608								
Hypsiglena chlorophaea loreala EU363160	1	802	EU363160	MVZ 241604								
Hypsiglena chlorophaea loreala EU363161	1	802	EU363161	CAS 229947								
Hypsiglena chlorophaea loreala EU363162	1	802	EU363162	CAS 228912								
Hypsiglena chlorophaea loreala EU363163	1	802	EU363163	CAS 228913								
Hypsiglena chlorophaea loreala EU363164	1	802	EU363164	CAS 228914								
Hypsiglena chlorophaea loreala EU363165	1	802	EU363165	MVZ 241606								
Hypsiglena chlorophaea loreala EU363166	1	802	EU363166	USGS-725								
Hypsiglena chlorophaea loreala EU363156	1	802	EU363156	ASU 34818								
Hypsiglena sp. 1 DGM-2008 EU363182	1	802	EU363182	CAS 228935								
Hypsiglena sp. 1 DGM-2008 EU363183	1	802	EU363183	CAS 228958								
Hypsiglena sp. 1 DGM-2008 EU363185	1	802	EU363185	CAS 228938								
Hypsiglena sp. 1 DGM-2008 EU363186	1	802	EU363186	SM 660								
Hypsiglena ochrorhyncha nuchalata EU363187	1	802	EU363187	CAS 228915								
Hypsiglena ochrorhyncha nuchalata EU363188	1	802	EU363188	MVZ 229141								
Hypsiglena ochrorhyncha nuchalata EU363189	1	802	EU363189	MVZ 230713								
Hypsiglena ochrorhyncha nuchalata EU363190	1	802	EU363190	CAS 223543								
Hypsiglena ochrorhyncha nuchalata EU363191	1	802	EU363191	MVZ 180363								
Hypsiglena ochrorhyncha nuchalata EU363192	1	802	EU363192	MVZ 241094								
Hypsiglena ochrorhyncha nuchalata EF078549	1	802	EF078549	MVZ 229213								
Hypsiglena ochrorhyncha nuchalata EU363193	1	802	EU363193	CAS 205784								
Hypsiglena ochrorhyncha klauberi EU363195	1	802	EU363195	CAS 228973								
Hypsiglena ochrorhyncha klauberi EU363198	1	802	EU363198	IBUNAM-GP 460								
Hypsiglena ochrorhyncha klauberi EU363200	1	802	EU363200	CAS 223549								
Hypsiglena ochrorhyncha klauberi EU363202	1	802	EU363202	DGM 1706								
Hypsiglena ochrorhyncha klauberi EU363203	1	802	EU363203	CAS 228968								
Hypsiglena ochrorhyncha klauberi EU363205	1	802	EU363205	CAS 228970								
Hypsiglena ochrorhyncha klauberi EU363206	1	802	EU363206	CAS 205790								
Hypsiglena ochrorhyncha klauberi EU363207	1	802	EU363207	MVZ 236389								
Hypsiglena ochrorhyncha klauberi EU363209	1	802	EU363209	MHP11238								
Hypsiglena ochrorhyncha venusta EU363211	1	802	EU363211	ROM 14478								
Hypsiglena ochrorhyncha venusta EU363212	1	802	EU363212	RWM 1694								
Hypsiglena ochrorhyncha baueri EU363210	1	802	EU363210	RWM 1859								
Hypsiglena ochrorhyncha ochrorhyncha EU363213	1	802	EU363213	MVZ 236397								
Hypsiglena ochrorhyncha ochrorhyncha EU363214	1	802	EU363214	MVZ 236396								
Hypsiglena ochrorhyncha ochrorhyncha EU363215	1	802	EU363215	MVZ 236392								
Hypsiglena ochrorhyncha ochrorhyncha EU363217	1	802	EU363217	MVZ 236393								
Hypsiglena ochrorhyncha ochrorhyncha EU363218	1	802	EU363218	MVZ 236394								
Hypsiglena unaocularus KF548611	1	802	KF548611	USNM Herp Image 2821; WP323		18.354	-114.7124		Mexico	Isla Clarion		
Hypsiglena unaocularus KF548608	1	802	KF548608	USNM Herp Image 2818; WP312		18.3575	-114.7339		Mexico	Isla Clarion		
Hypsiglena unaocularus KF548607	1	802	KF548607	USNM Herp Image 2817; WP308		18.3417	-114.7346		Mexico	Isla Clarion		
Hypsiglena unaocularus KF548609	1	802	KF548609	USNM Herp Image 2819; WP319		18.3613	-114.732		Mexico	Isla Clarion		
