Row Taxon Label	Start Index	End Index	GenBank Accession	Other Accession Num	Notes	Notes2	Title
Linum usitatissimum 2	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Medicago truncatula 1	1	1077	XM_003636036.1	 	 	 	PsbO protein isoforms
Medicago truncatula 2	1	1077	XM_003611812.1	 	 	 	PsbO protein isoforms
Mimulus guttatus 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Picea abies 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Pinus sylvestris 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Populus trichocarpa x Populus deltoides 1	1	1077		 	'Sequence available at http://www.plantgdb.org as PUT-157a-Populus_trichocarpa_x_Populus_deltoides-3675'	'Sequence available at http://www.plantgdb.org as PUT-157a-Populus_trichocarpa_x_Populus_deltoides-3675'	PsbO protein isoforms
Populus trichocarpa x Populus deltoides 2	1	1077		 	'Sequence available at http://www.plantgdb.org asv PUT-157a-Populus_trichocarpa_x_Populus_deltoides-4524241'	'Sequence available at http://www.plantgdb.org asv PUT-157a-Populus_trichocarpa_x_Populus_deltoides-4524241'	PsbO protein isoforms
Sequoia sempervirens 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Solanum habrochaites 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Solanum habrochaites 2	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Taxus baccata 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Thellungiella halophila 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Thellungiella halophila 2	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Thellungiella halophila 3	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Theobroma cacao 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Triticum aestivum 1	1	1077		 	'Combination of sequences PUT-163b-Triticum_aestivum-3214165442 and PUT-163b-Triticum_aestivum-3213165446 from http://www.plantgdb.org'	'Combination of sequences PUT-163b-Triticum_aestivum-3214165442 and PUT-163b-Triticum_aestivum-3213165446 from http://www.plantgdb.org'	PsbO protein isoforms
