Row Taxon Label	Start Index	End Index	GenBank Accession	Other Accession Num	Country	Notes
Anemone tenuifolia AM235090	1	1360	AM235090	Forest F. et al. 601 (NBG)		
Angraecum sesquipedale AF074106	1	1360	AF074106			Angraecum sesquipedale Thouars
Anisodontea triloba AM235024	1	1360	AM235024	Manning J.C. 2848 (NBG)		
Anisotoma cordifolia AM234829	1	1360	AM234829	Forest F. et al. 793 (NBG)		
Annesorhiza altiscapa AM234812	1	1360	AM234812	Goldblatt P. & Porter L. 12423 (NBG)		
Anthochortus graminifolius AM235091	1	1360	AM235091	Helme N.A. 3284 (NBG)		
Anthoxanthum sp. AM235051	1	1360	AM235051	Forest F. et al. 861 (NBG)		
Antizoma angustifolia DQ099437	1	1360	DQ099437	26.II 1984 583 Ritva Blomberg et al (UPS)		
Apodolirion lanceolatum AM234804	1	1360	AM234804	LHMS 56 (NBG)		
Apodytes dimidiata AJ428895	1	1360	AJ428895	Bremer 3770		
Aptosimum sp. AF123671	1	1360	AF123671			
Arctopus echinatus AY188414	1	1360	AY188414			
Arctotheca calendula AM234848	1	1360	AM234848	Savolainen V. & Powell M.P. 1801C (NBG)		
Arctotis hirsuta EU384947	1	1360	EU384947			
Artemisia afra AM234849	1	1360	AM234849	KBG 162/1984 (NBG)		
Arundinella deppeana AM849417	1	1360	AM849417	G. Sanchez-Ken 676 (ISC)		
Asaemia inermis AM234850	1	1360	AM234850	Goldblatt P. & Porter L. 12414 (NBG)		
Askidiosperma andreaeanum AM235092	1	1360	AM235092	LHMS 1885 (NBG)		
Asparagus capensis AM234843	1	1360	AM234843	Manning J.C. & Reeves G. 2832 (NBG)		
Aspidoglossum heterophyllum AM234830	1	1360	AM234830	RBGK 3293		
Astephanus marginatus AM234831	1	1360	AM234831	Logie C. FBG34 (NBG)		
Aster bakeranus AM234851	1	1360	AM234851	Forest F. et al. 795 (NBG)		
Atalaya alata AY724345	1	1360	AY724345	Chase1126(K)		
Athanasia trifurcata AM234852	1	1360	AM234852	Goldblatt P. & Porter L. 12600 (NBG)		
Athrixia sp. AM234853	1	1360	AM234853	Goldblatt P. & Porter L. 12493 (NBG)		
Audouinia capitata AY490992	1	1360	AY490992	MJG 040549; Cla en-Bockhoff 4000		
Aulax cancellata AM235081	1	1360	AM235081	RBGK 9342		
Babiana ecklonii AJ309673	1	1360	AJ309673			
Ballota africana AM234997	1	1360	AM234997	Manning J.C. 2928 (NBG)		
Bartholina burmanniana AM235035	1	1360	AM235035	Goldblatt P. & Porter L. 12455 (NBG)		
Bartsia alpina AF190903	1	1360	AF190903			
Bassia diffusa AM234799	1	1360	AM234799	Forest F. et al. 651 (NBG)		
Bergia glomerata AM234974	1	1360	AM234974	Forest F. et al. 787 (NBG)		
Berkheya rigida AM234854	1	1360	AM234854	Balele K. 19 (NBG)		
Berula erecta AM234813	1	1360	AM234813	Forest F. et al. 855 (NBG)		
Bobartia gladiata AJ309699	1	1360	AJ309699			
Bolusafra bituminosa EU717272	1	1360	EU717272	Doyle 1282; BH 120		
Bonatea speciosa AM235036	1	1360	AM235036	RBGK O-674		
Boophone disticha AF116945	1	1360	AF116945			
Brachiaria sp. AM235052	1	1360	AM235052	Forest F. et al. 778 (NBG)		
Brachycorythis sp. AM235037	1	1360	AM235037	RBGK 5957		
Brachylaena neriifolia AM234855	1	1360	AM234855	Forest F. et al. 565 (NBG)		
Brachypodium sylvaticum AJ746258	1	1360	AJ746258			
Brachysiphon microphyllus AJ605086	1	1360	AJ605086			
Brachystelma luteum AM234832	1	1360	AM234832	Dold T. sn (NBG)		
Bromus hordeaceus AY395531	1	1360	AY395531			
Brownleea caerulea AM235038	1	1360	AM235038	RBGK O-697		
Brunsvigia orientalis AM234805	1	1360	AM234805	Manning J.C. 2818 (NBG)		
Bryomorphe aretioides AM234856	1	1360	AM234856	Helme N.A. 3291 (NBG)		
Buchnera floridana AF026822	1	1360	AF026822			
Buddleja davidii AJ001757	1	1360	AJ001757			Voucher is Bremer 3315 (UPS)
Cadaba aphylla AM234931	1	1360	AM234931	RBGK 5887		
Calanthe vestita AF074117	1	1360	AF074117			Calanthe vestita Lindl.
Calodendrum capense AF066805	1	1360	AF066805			
Calopsis paniculata AM235093	1	1360	AM235093	RBGK 19658		
Calpurnia intrusa AM235005	1	1360	AM235005	RBGK 12315		
Calystegia sepium AY100992	1	1360	AY100992			
Canthium inerme AM235109	1	1360	AM235109	Forest F. et al. 790 (NBG)		
Capelio tabularis AM234857	1	1360	AM234857	Helme N.A. 3463 (NBG)		
Capnophyllum africanum AM234814	1	1360	AM234814	Forest F. et al. 654 (NBG)		
Cardamine pensylvanica AF020324	1	1360	AF020324			
Carissa bispinosa AJ419738	1	1360	AJ419738	"Sennblad 235, UPS"		
Carpacoce sp. AJ288597	1	1360	AJ288597	Bremer 3708 (UPS)		
Carpanthea pomeridiana AM234786	1	1360	AM234786	Balele K. 61 (NBG)		
Carpha sp. AM234971	1	1360	AM234971	Forest F. et al. 759 (NBG)		
Carpobrotus edulis AM234787	1	1360	AM234787	LHMS 521 (NBG)		
Cassine peragua AM234952	1	1360	AM234952	RBGK 423		
Cassinopsis ilicifolia AJ428896	1	1360	AJ428896	Bremer 3769 (UPS)		
Celtis philippensis AY263941	1	1360	AY263941			
Cerastium capense AM234949	1	1360	AM234949	Forest F. et al. 844 (NBG)		
Ceratiosicyos laevis AM234784	1	1360	AM234784	Forest F. et al. 803 (NBG)		
Chaetacanthus sp. AM234779	1	1360	AM234779	Forest F. et al. 808 (NBG)		
Chaetobromus dregeanus AM235053	1	1360	AM235053	Forest F. et al. 629 (NBG)		
Chamira circaeoides AM234932	1	1360	AM234932	Helme N.A. 3533 (NBG)		
Chascanum cernuum AM235164	1	1360	AM235164	Helme N.A. 3400 (NBG)		
Chasmanthe aethiopica AJ309660	1	1360	AJ309660			
Chionanthus virginicus DQ006108	1	1360	DQ006108	Wells 4425 US		
Chironia baccifera AM234982	1	1360	AM234982	Manning J.C. & Reeves G. 2840 (NBG)		
Chloris virgata EF125096	1	1360	EF125096	Chase19521 K		
Chondropetalum sp. AM235094	1	1360	AM235094	Balele K. 55 (NBG)		
Chrysanthemoides monilifera AM234858	1	1360	AM234858	RBGK 6578		
Chrysitrix capensis AJ419938	1	1360	AJ419938	"Esterhuysen 27743, S"		
Chrysocoma sp. AM234859	1	1360	AM234859	Balele K. 7 (NBG)		
Cineraria sp. AM234860	1	1360	AM234860	Savolainen V. & Powell M.P. 1602 (NBG)		
Cissampelos capensis AM235029	1	1360	AM235029	RBGK 6584		
Citrullus lanatus DQ535745	1	1360	DQ535745	S.S. Renner 2816 (M)		
Cladoraphis spinosa AM235054	1	1360	AM235054	Forest F. et al. 628 (NBG)		
Clausena anisata AM235116	1	1360	AM235116	Logie C. FBG67 (NBG)		
Clematis sp. AF193972	1	1360	AF193972			
Cleretum papulosum subsp. papulosum AM234788	1	1360	AM234788	Balele K. 11 (NBG)		
Cliffortia sp. AM235107	1	1360	AM235107	Balele K. 23B (NBG)		
Clivia mirabilis AM234806	1	1360	AM234806			
Clutia pulchella AM234976	1	1360	AM234976	RBGK 5876		
Coccinia adoensis AF534745	1	1360	AF534745			
Codon royenii AM234925	1	1360	AM234925	Savolainen V. & Powell M.P. 903 (NBG)		
Commelina sp. AM234965	1	1360	AM234965	Goldblatt P. & Porter L. 12506 (NBG)		
Conium sp. AM234815	1	1360	AM234815	Goldblatt P. & Porter L. 12644 (NBG)		
Convolvulus sagittatus AY100994	1	1360	AY100994			
Conyza scabrida AM234861	1	1360	AM234861	Forest F. et al. 684 (NBG)		
Cortaderia selloana DQ005609	1	1360	DQ005609			
Corycium carnosum AY381115	1	1360	AY381115	M. Chase O-692 (K)		authority: Corycium carnosum Rolfe
Corymbium glabrum AM234862	1	1360	AM234862	Goldblatt P. & Porter L. 12564 (NBG)		
Costularia natalensis DQ058345	1	1360	DQ058345	Verboom 773 BOL		
Cotyledon orbiculata AM234969	1	1360	AM234969	Forest F. sn. (NBG)		
Crassula perforata AF274594	1	1360	AF274594	Fishbein 3778 (WS)		
Crinum yemense AF116951	1	1360	AF116951			
Crocosmia mathewsiana AJ577250	1	1360	AJ577250	Goldblatt & Manning 9830		
Cromidon sp. AM235133	1	1360	AM235133	Goldblatt P. & Porter L. 12674 (NBG)		
Cullumia bisulca AM234863	1	1360	AM234863	Forest F. & Manning J.C. 521 (NBG)		
Cunonia atrorubens AF291918	1	1360	AF291918			
Cyanotis sp. AM234966	1	1360	AM234966	Goldblatt P. & Porter L. 12489 (NBG)		
Cyathocoma hexandra DQ058344	1	1360	DQ058344	Verboom 648 BOL		
Cycnium racemosum AF026826	1	1360	AF026826			
Cymbopogon citratus EF125117	1	1360	EF125117	Hodkinson42 TCD		
Cynanchum laeve DQ006054	1	1360	DQ006054	Beyersdorfer 124 US		
Cynodon sp. AM235055	1	1360	AM235055	Forest F. et al. 739 (NBG)		
Cynoglossum sp. AM234926	1	1360	AM234926	Styles D. 2280 (NBG)		
Cynosurus cristatus EF125151	1	1360	EF125151	Hodkinson14 TCD		
Cyphia bulbosa AM234938	1	1360	AM234938	LHMS 640 (NBG)		
Cyphostemma juttae AJ419719	1	1360	AJ419719	Chase 535 K		
Cyrtanthus elatus AF116953	1	1360	AF116953			
Cysticapnos sp. AM234980	1	1360	AM234980	Goldblatt P. & Porter L. 12396 (NBG)		
Dalechampia spathulata AY788172	1	1360	AY788172	"Wurdack D10, US"		
Dasispermum suffruticosum AM234816	1	1360	AM234816	Manning J.C. & Reeves G. 2819 (NBG)		
Delosperma echinatum AJ235778	1	1360	AJ235778	Chase 2539 K		
Desmazeria rigida EF125150	1	1360	EF125150			
Deverra denudata AM234817	1	1360	AM234817	Goldblatt P. & Porter L. 12643 (NBG)		
Dianthus namaensis AM234950	1	1360	AM234950	Goldblatt P. & Porter L. 12441 (NBG)		
Diascia longicornis AM235134	1	1360	AM235134	Balele K. 6 (NBG)		
Diastella parilis AM235082	1	1360	AM235082	RBGK 9345		
Dichondra occidentalis AY101023	1	1360	AY101023			
Diclis reptans AM235135	1	1360	AM235135	Forest F. et al. 863 (NBG)		
Dicoma picta AM234864	1	1360	AM234864	Goldblatt P. & Porter L. 12467 (NBG)		
Didelta spinosa AM234865	1	1360	AM234865	Forest F. & Manning J.C. 507 (NBG)		
Didymodoxa caffra AM235160	1	1360	AM235160	Goldblatt P. & Porter L. 12582 (NBG)		
Dierama sp. AM234992	1	1360	AM234992	LHMS 2114 (NBG)		
Dietes robinsoniana AJ309695	1	1360	AJ309695			
Digitaria sp. AM235056	1	1360	AM235056	Forest F. et al. 782 (NBG)		
Dilatris pillansii AM234986	1	1360	AM234986	RBGK 5883		
Dioscorea elephantipes AF307461	1	1360	AF307461			
Diosma sabulosa AM235117	1	1360	AM235117	Victor J. JEV2409 (B)		
Dipogon lignosus AB045800	1	1360	AB045800			
Disa tripetaloides AF074151	1	1360	AF074151			Disa tripetaloides (L.F.) N.E. Br.
Dischisma ciliatum AM235136	1	1360	AM235136	Balele K. 30 (NBG)		
Disparago anomala AM234866	1	1360	AM234866	Forest F. & E.J. Lucas 720 (NBG)		
Disperis capensis AY381120	1	1360	AY381120	M. Chase O-1203 (K)		authority: Disperis capensis Sw.
Disphyma crassifolium AM234789	1	1360	AM234789	RBGK 12947		
Dodonaea angustifolia AM235129	1	1360	AM235129	Forest F. & Manning J.C. 532 (NBG)		
Dolichos decumbens AM235006	1	1360	AM235006	Manning J.C. & Reeves G. 2837 (NBG)		
Dolichothrix ericoides AM234867	1	1360	AM234867	Forest F. et al. 610 (NBG)		
Dovea macrocarpa AM235095	1	1360	AM235095	LHMS 2430 (NBG)		
Dracaena sp. AM235113	1	1360	AM235113	Forest F. et al. 800 (NBG)		
Drimia elata AM234987	1	1360	AM234987	RBGK 2251		
Droguetia ambigua AM235161	1	1360	AM235161	Styles D. 2426 (NBG)		
Drosanthemum hispidum AM234790	1	1360	AM234790	Savolainen V. & Powell M.P. 1510 (NBG)		
Dumasia villosa AF181933	1	1360	AF181933			
Echinochloa crus-galli AM887871	1	1360	AM887871	G. Besnard 04-2001 (G)	Switzerland	
Echiostachys incanus AM234927	1	1360	AM234927	Balele K. 32 (NBG)		
Edmondia sp. AM234868	1	1360	AM234868	Goldblatt P. & Porter L. 12565 (NBG)		
Ehretia anacua AJ247617	1	1360	AJ247617	Qiu96209		
Ehrharta calycina AM235057	1	1360	AM235057	Forest F. et al. 574 (NBG)		
Ekebergia capensis AJ402947	1	1360	AJ402947	Chase 5807 K		
Elaeodendron transvaalense AM234953	1	1360	AM234953	Reeves G. 33 (NBG)		
Elegia cuspidata AF148774	1	1360	AF148774	Herb. NSW 255150		
Eleusine indica EF125108	1	1360	EF125108	Hodkinson126 TCD		
Elytropappus rhinocerotis AM234869	1	1360	AM234869	Manning J.C. 2844 (NBG)		
Emex spinosa AF297142	1	1360	AF297142			
Empleuridium juniperinum AY935725	1	1360	AY935725	"E. Esterhuysen 35233, South Africa (MO) 6"		
Empleurum unicapsulare AM235118	1	1360	AM235118	Hitchcock A. 2009 (NBG)		
Endonema retzioides AJ605088	1	1360	AJ605088			
Epilobium rigidum AF495763	1	1360	AF495763			
Epischoenus quadrangularis DQ058349	1	1360	DQ058349	Verboom 636 BOL		
Eriosema squarrosum AM235007	1	1360	AM235007	Forest F. et al. 835 (NBG)		
Euchaetis albertiniana AM235119	1	1360	AM235119	Victor J. JEV2408 (B)		
Eucomis regia AM234988	1	1360	AM234988	LHMS 687 (NBG)		
Eulalia aurea AM849410	1	1360	AM849410	G. Besnard 16-2006 (G)		
Eulophia streptopetala AM235039	1	1360	AM235039	RBGK O-698		
Euphorbia silenifolia AM234977	1	1360	AM234977	Manning J.C. & Reeves G. 2839 (NBG)		
Euryops speciosissimus AM234870	1	1360	AM234870	Savolainen V. & Powell M.P. 1702C (NBG)		
Eustachys paspaloides AM235058	1	1360	AM235058	Forest F. & E. Lucas 682 (NBG)		
Eustegia minuta AM234833	1	1360	AM234833	RBGK 3291		
Excoecaria cochinchinensis AJ418809	1	1360	AJ418809	Chase 1260 K		
Exomis microphylla AM234800	1	1360	AM234800	Helme N.A. 3344 (NBG)		
Ezosciadium capense AM234818	1	1360	AM234818	Goldblatt P. & Porter L. 12578 (NBG)		
Falkia repens AY101024	1	1360	AY101024			
Faurea saligna EU676072	1	1360	EU676072	Kirstenbosch 559/76		
Ferraria crispa AJ309690	1	1360	AJ309690			
Festuca rubra AJ746261	1	1360	AJ746261			
Ficinia pinguior AJ404703	1	1360	AJ404703	Muasya 1183 (K)	South Africa	
Ficus cordata AM235033	1	1360	AM235033	Goldblatt P. & Porter L. 12442 (NBG)		
Fingerhuthia africana AM235059	1	1360	AM235059	Forest F. et al. 626 (NBG)		
Flueggea virosa subsp. virosa AY663585	1	1360	AY663585	"Wurdack D01, US"		
Fockea capensis AM234834	1	1360	AM234834	RBGK 3853		
Forsskaolea sp. AM235162	1	1360	AM235162	Goldblatt P. & Porter L. 12472 (NBG)		
Foveolina tenella AM234871	1	1360	AM234871	Forest F. & Manning J.C. 514 (NBG)		
Freylinia undulata AM235137	1	1360	AM235137	Goldblatt P. & Porter L. 12601 (NBG)		
Galenia pubescens AF132099	1	1360	AF132099			
Galopina circaeoides AJ288602	1	1360	AJ288602	Bremer 2797 (UPS)		
Garuleum bipinnatum AM234872	1	1360	AM234872	Goldblatt P. & Porter L. 12557 (NBG)		
Gasteria glomerata AJ512281	1	1360	AJ512281			
Geissoloma marginatum AJ403022	1	1360	AJ403022	Savolainen gma1 G		
Geissorhiza heterostyla AJ309676	1	1360	AJ309676			
Gibbaria ilicifolia AM234873	1	1360	AM234873	LHMS 1638 (NBG)		
Glischrocolla formosa AM235046	1	1360	AM235046	Helme N.A. 3285 (NBG)		
Gloveria integrifolia AM234954	1	1360	AM234954	Forest F. et al. 857 (NBG)		
Gnaphalium sp. AM234874	1	1360	AM234874	Goldblatt P. & Porter L. 12556 (NBG)		
Gnidia racemosa AJ295268	1	1360	AJ295268	Beaumont NU		
Gomphocarpus cancellatus AM234835	1	1360	AM234835	RBGK 3289		
Gomphostigma sp. AM235138	1	1360	AM235138	Goldblatt P. & Porter L. 12664 (NBG)		
Gonioma kamassi AM234836	1	1360	AM234836	RBGK 5806		
Gorteria diffusa AM234875	1	1360	AM234875	Manning J.C. 2866 (NBG)		
Graderia scabra AM235043	1	1360	AM235043	Forest F. et al. 837 (NBG)		
Grammatotheca bergiana DQ356116	1	1360	DQ356116	Bean & Viviers 2628 (GB)	South Africa	
Grewia occidentalis AJ233152	1	1360	AJ233152			
Grielum humifusum AJ403023	1	1360	AJ403023	Chase 5711 K		
Gunnera perpensa AY008154	1	1360	AY008154			
Gymnodiscus capillaris AM234876	1	1360	AM234876	Forest F. & Manning J.C. 510 (NBG)		
Gymnosporia buxifolia AM234955	1	1360	AM234955	Forest F. et al. 656 (NBG)		
Habenaria falcicornis AM235040	1	1360	AM235040	RBGK 5954		
Haemanthus humilis AF116960	1	1360	AF116960			
Monerma cylindrica EF125153	1	1360	EF125153	Chase19526 K		
Hakea archaeoides EU676114	1	1360	EU676114	NSW 399353		
Halleria lucida AF026828	1	1360	AF026828			
Halopeplis amplexicaulis AY270095	1	1360	AY270095	"G. Kadereit et al. 2002/14; Laguna de Guallar, Spain (MJG)"		"Chenopodiaceae, Salicornioideae; authority: Halopeplis amplexicaulis Ung.-Sternb.ex Cesati, Passer. & Gibelli"
Halophila ovalis AB004890	1	1360	AB004890			
Harpochloa falx AM235060	1	1360	AM235060	Forest F. et al. 798 (NBG)		
Harveya capensis AF026829	1	1360	AF026829			
Haworthia arachnoidea AM234844	1	1360	AM234844	LHMS 1362 (NBG)		
Hebenstretia dentata AJ001767	1	1360	AJ001767			Voucher is Bremer 3303 (UPS)
Heeria argentea AM234809	1	1360	AM234809	RBGK 6588		
Helichrysum cymosum AM234877	1	1360	AM234877	Balele K. 9 (NBG)		
Helictotrichon requienii EF125144	1	1360	EF125144	Kew 1995-1350		
Heliophila pubescens AM234933	1	1360	AM234933	Manning J.C. 2897 (NBG)		
Hemarthria altissima GU135209	1	1360	GU135209	J.R. Abbott 24966 (FLAS)		authority: Hemarthria altissima (Poir.) Stapf & C.E. Hubb.
Hemimeris sabulosa AF123668	1	1360	AF123668			
Hermannia sp. AM235025	1	1360	AM235025	Forest F. & Manning J.C. 530 (NBG)		
Hermas villosa AM234819	1	1360	AM234819	RBGK 5803		
Herniaria glabra AF132091	1	1360	AF132091			
Hertia sp. AM234878	1	1360	AM234878	Goldblatt P. & Porter L. 12535 (NBG)		
Hesperantha pseudopilosa AJ309656	1	1360	AJ309656			
Heterolepis aliena AM234879	1	1360	AM234879	KBG 79/1972 (NBG)		
Heteromorpha sp. AM234820	1	1360	AM234820	Goldblatt P. & Porter L. 12482 (NBG)		
Heteropogon contortus AM235061	1	1360	AM235061	Balele K. 60 (NBG)		
Hibiscus punaluuensis AJ233121	1	1360	AJ233121			
Hippia frutescens AM234880	1	1360	AM234880	Goldblatt P. & Porter L. 12570 (NBG)		
Holcus lanatus AM235062	1	1360	AM235062	LHMS 2391 (NBG)		
Holothrix aspera AM235041	1	1360	AM235041	Forest F. & Manning J.C. 538 (NBG)		
Hoplophyllum spinosum AM234881	1	1360	AM234881	Hall 4242		
Hordeum marinum subsp. marinum AY137436	1	1360	AY137436	H546		
Hyaenanche globosa AJ402961	1	1360	AJ402961	Chase 1445 K		
Hybanthus enneaspermus AF530902	1	1360	AF530902			
Hydrophylax maritima AJ616212	1	1360	AJ616212	Lundqvist 8945 (UPS)		
Hymenolepis gnidioides AM234882	1	1360	AM234882	Goldblatt P. & Porter L. 12476 (NBG)		
Hyobanche atropurpurea AF026831	1	1360	AF026831			
Hypericum perforatum AF206779	1	1360	AF206779			Hypericum perforatum L.
Hypertelis salsoloides AF132097	1	1360	AF132097			
Hypocalyptus sophoroides AF308710	1	1360	AF308710			
Hypodiscus sp. AM235096	1	1360	AM235096	Forest F. et al. 878 (NBG)		
Ifloga verticillata AM234883	1	1360	AM234883	Goldblatt P. & Porter L. 12446 (NBG)		
Imperata cylindrica GU135272	1	1360	GU135272	S.B. Davis 0679 (FLAS)		authority: Imperata cylindrica (L.) P. Beauv.
Indigofera glomerata AM235008	1	1360	AM235008	Balele K. 15 (NBG)		
Ischyrolepis subverticillata AM235097	1	1360	AM235097	RBGK 3495		
Isoglossa cooperi AM234780	1	1360	AM234780	KBG 230/2000 (NBG)		
Itasina filifolia AM234821	1	1360	AM234821	Manning J.C. 2905 (NBG)		
Ixianthes retzioides AM235154	1	1360	AM235154	LHMS 2433 (NBG)		
Jamesbrittenia foliosa AM235139	1	1360	AM235139	Goldblatt P. & Porter L. 12488 (NBG)		
Jatropha capensis AM234978	1	1360	AM234978	Logie C. FBG62 (NBG)		
Jordaaniella dubia AM234791	1	1360	AM234791	Manning J.C. & Reeves G. 2825 (NBG)		
Kedrostis africana AJ235782	1	1360	AJ235782	Chase 274 NCU		
Kiggelaria africana AF206786	1	1360	AF206786			
Klattia flava AJ309667	1	1360	AJ309667			
Koeleria sp. AM235063	1	1360	AM235063	Forest F. et al. 780 (NBG)		
Kogelbergia verticillata AM235155	1	1360	AM235155	Helme N.A. 3406 (NBG)		
Lachenalia orchioides AM234989	1	1360	AM234989	RBGK 1616		
Lachnaea filicaulis AJ297221	1	1360	AJ297221	Oliver 9803 Comp		
Lachnospermum fasciculatum AM234884	1	1360	AM234884	Goldblatt P. & Porter L. 12633 (NBG)		
Lachnostylis bilocularis AJ418813	1	1360	AJ418813	NBG 83/88 K		
Lagenaria siceraria DQ535825	1	1360	DQ535825	"cult. Missouri BG, 2002"		
Lampranthus filicaulis AM234792	1	1360	AM234792	Balele K. 20 (NBG)		
Lapeirousia neglecta AJ309665	1	1360	AJ309665			
Laportea canadensis AF500356	1	1360	AF500356			
Lappula deflexa EU599846	1	1360	EU599846	B140	Finland	
Lasiospermum bipinnatum AM234885	1	1360	AM234885	LHMS 1601 (NBG)		
Lauridia tetragona AM234956	1	1360	AM234956	Nanni I. 328 (NBG)		
Laurophyllus capensis AM234810	1	1360	AM234810	RBGK 6580		
Lavatera acerifolia AJ233122	1	1360	AJ233122			
Lebeckia simsiana AM235009	1	1360	AM235009	RBGK 6720		
Leidesia procumbens AM234979	1	1360	AM234979	Logie C. sn (NBG)		
Leonotis leonurus AM234998	1	1360	AM234998	Goldblatt P. & Porter L. 12396A (NBG)		
Lepidium africanum AM234934	1	1360	AM234934	RBGK 2308		
Lessertia frutescens AM235010	1	1360	AM235010	Forest F. & Manning J.C. 533 (NBG)		
Leucas capensis AM234999	1	1360	AM234999	Vetter S. & Dold T. sn (NBG)		
Leucospermum bolusii AM235083	1	1360	AM235083	LHMS 24 (NBG)		
Leysera gnaphalodes AM234886	1	1360	AM234886	Savolainen V. & Powell M.P. 1213 (NBG)		
Lichtensteinia lacera AM234822	1	1360	AM234822	Balele K. 40 (NBG)		
Lidbeckia pectinata AM234887	1	1360	AM234887	Conrad F. 102 (NBG)		
Limeum aethiopicum AF132095	1	1360	AF132095			
Limonium scabrum AM235050	1	1360	AM235050	RBGK 5889		
Linconia alopecuroides AY490993	1	1360	AY490993	MJG 040287; Quint Q15		
Linum arboreum AY380352	1	1360	AY380352	Collenette 2/93 (K)		authority: Maytenus arbutifolia (Hochst. ex A. Rich.) R. Wilczek
Liparis lilifolia AF074183	1	1360	AF074183			Liparis lilifolia (L.) L.C.M. Rich ex Lindl.
Lithospermum sp. AM234928	1	1360	AM234928	Goldblatt P. & Porter L. 12668 (NBG)		
Lobostemon fruticosus AM234929	1	1360	AM234929	RBGK 6090		
Lolium perenne subsp. perenne AJ746293	1	1360	AJ746293		United Kingdom	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; Lolium
Lonchostoma monogynum AY490982	1	1360	AY490982	MJG 040569; Cla en-Bockhoff 4007		
Lotononis alpina AM235011	1	1360	AM235011	RBGK 6724		
Lycium ferocissimum AM235152	1	1360	AM235152	Balele K. 5 (NBG)		
Lyperia tristis AM235140	1	1360	AM235140	Manning J.C. 2854 (NBG)		
Lysimachia congestiflora AF213820	1	1360	AF213820			
Lythrum salicaria AF495760	1	1360	AF495760			
Macledium spinosum AM234888	1	1360	AM234888	Goldblatt P. & Porter L. 12468 (NBG)		
Macrostylis ramulosa AM235120	1	1360	AM235120	Meyer 2468 (PRE)		
Maerua kirkii AY483266	1	1360	AY483266	Hall 261 (WIS)		
Mairia hirsuta AM234889	1	1360	AM234889	Manning J.C. 2876 (NBG)		
Manochlamys albicans AM234801	1	1360	AM234801	Forest F. et al. 858 (NBG)		
Manulea sp. AM235141	1	1360	AM235141	Forest F. & Manning J.C. 512 (NBG)		
Marasmodes sp. AM234890	1	1360	AM234890	Forest F. et al. 919 (NBG)		
Mastersiella digitata AM234972	1	1360	AM234972	Balele K. 32 (NBG)		
Maurocenia frangula AM234957	1	1360	AM234957	LHMS 2424 (NBG)		
Maytenus senegalensis AY380353	1	1360	AY380353	Collenette 4/93 (K)		authority: Maytenus senegalensis (Lam.) Exell
Melasma scabrum AF190904	1	1360	AF190904			
Melasphaerula ramosa AM234993	1	1360	AM234993	Manning J.C. 2930 (NBG)		
Melianthus major AM235028	1	1360	AM235028	RBGK 290		
