Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Collector	Latitude 	Longitude	Elevation	Country	State	Locality						
Cryptococcus cf. taibaiensis IA 05		1	1106	KM246188   KM246105	IA 05	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Occultifur externus		1	1106	KM246163   KM246018	AM 08	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Bulleromyces albus		1	1106	KM246250   KM246055	C1/27	Leite, T. S.			631	Brazil	Minas Gerais	Agronomy Experimental Field located at Vicosa						
Rhodotorula ingeniosa		1	1106	KM246291   KM246096	C3/17	Leite, T. S.			631	Brazil	Minas Gerais	Agronomy Experimental Field located at Vicosa						
Cryptococcus dimennae 2		1	1106	KM246169   KM246024	AM 13	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Cryptococcus sp. 2		1	1106	KM246229   KM246145	MG 34	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Sporidiobolus pararoseus		1	1106	KM246234   KM246039	C1/04	Leite, T. S.			631	Brazil	Minas Gerais	Agronomy Experimental Field located at Vicosa						
Rhodotorula slooffiae		1	1106	KM246157   KM246012	A 36	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Rhodotorula marina		1	1106	KM246155   KM246010	A 31	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Cryptococcus flavescens C2/08		1	1106	KM246263   KM246068	C2/08	Leite, T. S.			631	Brazil	Minas Gerais	Agronomy Experimental Field located at Vicosa						
Cryptococcus dimennae 1		1	1106	KM246197   KM246114	IA 19	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Cryptococcus cf. taibaiensis A 28		1	1106	KM246153   KM246008	A 28	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Cryptococcus cf. cellulolyticus		1	1106	KM246223   KM246139	MG 27	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Rhodotorula mucilaginosa IA 32		1	1106	KM246206   KM246100	IA 32	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Cryptococcus sp. 1		1	1106	KM246152   KM246007	A 27	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Kurtzmanomyces sp. CBS12709		1	1106	KC836087.1   KC836089.1	CBS12709													
Erythrobasidium hasegawianum		1	1106	KM246204   KM246121	IA 28	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Rhodotorula mucilaginosa AM 25		1	1106	KM246181   KM246036	AM 25	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Fellomyces mexicanus		1	1106	KM246201   KM246118	IA 24	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
